parcel,address,current_property_class,current_property_use,current_year_built,current_total_living_area,current_stories,current_assessed_value,lot_depth,lot_width,lot_size,max_n_units,lot_size_max_n_units,zoning_max_n_units,zoning,use,lot_minimum_per_du_sq_ft,lot_width_ft,front_yard_setback_ft,side_yard_setback_ft,rear_yard_setback_ft,reversed_corner_setback_ft,height_ft,lot_cvg_pct,usable_open_space_per_du_ft,distance_to_capitol_miles,latitude,longitude
70922111144,1315 Randall Ct,Residential,2 Unit,1915,1712,2,382700,0.0,0.0,2274.0,6.497142857142857,6.497142857142857,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2413356142153162,43.07022112304525,-89.40811312139492
70922111079,1326 Randall Ct,Residential,Single family,1916,1433,2,455400,0.0,0.0,2365.0,6.757142857142857,6.757142857142857,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2713359312326813,43.070490228508866,-89.40881577088642
70922111152,1317 Randall Ct,Residential,2 Unit,1923,2146,3,453400,0.0,0.0,2508.0,7.1657142857142855,7.1657142857142855,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2479674294793242,43.070231084021664,-89.40825208054537
70922111128,1314 Randall Ct,Residential,Single family,1927,1629,2,399400,0.0,0.0,2528.0,7.222857142857142,7.222857142857142,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.229129665890482,43.07037321734086,-89.40791737310569
70922113215,35 N Randall Ave,Commercial,Commercial exempt,0,0,0,0,0.0,0.0,2565.0,7.328571428571428,7.328571428571428,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2972892172865182,43.068922405750634,-89.40874563545576
70922111293,120 N Orchard St,Residential,3 unit Apartment,1917,4080,3,1079300,0.0,0.0,2625.0,7.5,7.5,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2154430177532798,43.07037014262125,-89.40763706644341
70922111136,1313 Randall Ct,Residential,2 Unit,1927,1474,2,375900,0.0,0.0,2682.0,7.662857142857143,7.662857142857143,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2341481503506686,43.07023219128784,-89.40797022947336
70923216159,1014 W Dayton St,Residential,Single family,1884,1266,2,375000,0.0,0.0,2995.0,8.557142857142857,8.557142857142857,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,0.977988831542313,43.0711930877687,-89.40307927022641
70923222031,25 N Mills St,Residential,3 unit Apartment,1921,4209,3,875700,0.0,0.0,3200.0,9.142857142857142,9.142857142857142,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.0709513815716933,43.06858229897561,-89.40379041361632
70923215177,934 W Dayton St,Residential,3 unit Apartment,1896,2272,2,531900,0.0,0.0,3217.5,9.192857142857145,9.192857142857145,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,0.9398105426270421,43.07117914035333,-89.40229331261965
70922202068,1906 Birge Ter,Residential,5 unit Apartment,1938,2400,2,675000,0.0,0.0,3233.0,4.310666666666667,4.310666666666667,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.7139080906873292,43.07382203431478,-89.41822393500571
70923215101,213 N Brooks St,Residential,4 unit Apartment,1925,3820,2,995000,0.0,0.0,3266.5,9.332857142857144,9.332857142857144,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,0.927416761459763,43.071622304747734,-89.40219519657423
70922202050,1910 Birge Ter,Residential,5 unit Apartment,1938,2400,2,665000,0.0,0.0,3359.0,4.478666666666666,4.478666666666666,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.7208788030625795,43.073802799105856,-89.41836082959111
70922204030,415 Paunack Pl,Residential,2 Unit,1929,2308,2,593000,0.0,0.0,3360.0,4.48,4.48,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.8190349970348023,43.07339785832328,-89.42027815697378
70923215185,926 W Dayton St,Residential,Single family,1906,1210,2,473500,0.0,0.0,3383.0,9.665714285714284,9.665714285714284,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,0.933003444877165,43.07117674342627,-89.4021529252549
70922202026,1920 Birge Ter,Residential,4 unit Apartment,1954,2700,2,545000,0.0,0.0,3393.8,4.525066666666667,4.525066666666667,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.7415477045270857,43.07375710321332,-89.4187672797041
70923220077,37 N Brooks St,Residential,Single family,1931,1632,2,364700,0.0,0.0,3448.0,9.851428571428572,9.851428571428572,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,0.985812441221899,43.0689705445962,-89.40218511936757
70922202042,1912 Birge Ter,Residential,4 unit Apartment,1969,2112,2,525000,0.0,0.0,3513.6,4.6848,4.6848,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.727744921214285,43.0737867308249,-89.41849581044056
70922205210,420 Paunack Pl,Residential,4 unit Apartment,1955,2646,2,495000,0.0,0.0,3600.0,4.8,4.8,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.8461137094353686,43.07365929919805,-89.42083059330258
70922202018,1922 Birge Ter,Residential,Single family,1941,1468,2,548600,0.0,0.0,3613.0,4.817333333333333,4.817333333333333,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.7484606897043264,43.073742839084616,-89.4189032641866
70922202034,1916 Birge Ter,Residential,Single family,1938,1314,2,509000,0.0,0.0,3623.0,4.830666666666667,4.830666666666667,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.734646204865654,43.07377191612033,-89.41863154613421
70922111285,116 N Orchard St,Commercial,Rooming house,0,0,0,621000,0.0,0.0,3747.6,10.70742857142857,10.70742857142857,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.219712065973586,43.0702765331752,-89.40769109547864
70922202117,1906 University Ave,Residential,5 unit Apartment,1953,3080,2,930000,0.0,0.0,3816.0,5.088,5.088,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.710530068788467,43.07344524547254,-89.41813372270448
70921107037,413 Chestnut St,Residential,3 unit Apartment,1929,2748,3,656800,0.0,0.0,3826.74,5.10232,5.10232,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,2.158344184973189,43.07186287218443,-89.42684988683308
70922110021,111 N Orchard St,Commercial,Rooming house,0,0,0,488000,0.0,0.0,3914.6,11.184571428571427,11.184571428571427,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.1968437239274525,43.07002271777919,-89.40712808032985
70922111334,134 N Orchard St,Commercial,8 unit Apartment,0,0,0,1116000,0.0,0.0,3941.05,11.260142857142858,11.260142857142858,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2104117733850184,43.070827438086255,-89.40768661600659
70922110039,1228 Spring St,Residential,Single family,2002,1804,2,549900,0.0,0.0,3967.5,11.335714285714284,11.335714285714284,200,TR-U2,Multi-family (>36 units),350,50.0,15,10,20,12,78,80,40.0,1.2006240517263385,43.069819457662355,-89.40712551129153
70922202109,1910 University Ave,Residential,3 unit Apartment,1953,2900,2,629100,0.0,0.0,3980.0,5.306666666666667,5.306666666666667,200,TR-U1,Multi-family (>24 units),750,50.0,15,6,25,12,65,75,160.0,1.718195759539254,43.07343130014632,-89.41828445588271
